"Who plays the big game hunter Roland Tembo in the 1997 film sequel The Lost World: Jurassic Park?","Michael Kitchen","Bob Peck","Pete Postlethwaite","Robert Lindsay",3
"The 1992 film Deliverance features four city types making a canoe trip down a remote river. What is their home city?","Atlanta","Denver","New York","Tallahassee",1
"What sport is featured in the 1990 Tom Cruise film Days of Thunder?","American football","Auto racing","Baseball","Basketball",2
"The original King Kong film was released in what year?","1923","1933","1943","1953",2
"Who plays the title role in the 1935 film Captain Blood?","Lionel Barrymore","Ronald Colman","Errol Flynn","Douglas Fairbanks Jr",3
"Who plays the female lead in the 1984 film Romancing the Stone?","Kim Basinger","Demi Moore","Sharon Stone","Kathleen Turner",4
"What is the profession of Gene Hackman's character in the 1972 film The Poseidon Adventure?","Painter","Policeman","Politician","Priest",4
"Johnny Weissmuller, who played Tarzan in several films, was an Olympic gold medallist at what sport?","Boxing","Fencing","Swimming","Weightlifting",3
"Who plays the title role in the 1948 film Scott of the Antarctic?","John Gregson","John Mills","Kenneth More","James Robertson Justice",2
"Don Diego De la Vega is the real name of which legendary  hero?","The Crimson Pirate","El Cid","Robin Hood","Zorro",4
"In the 1939 Gary Cooper film Beau Geste, the title character is a member of which fighting force?","The French Foreign Legion","The French Resistance","The Royal Navy","The US Marines",1
"What is the name of Johnny Depp's character in the Pirates of the Caribbean films?","Jack Frost","Jack Sparrow","Jack Sprat","Jack Tar",2
"The 1952 film The Prisoner of Zenda, starring Stewart Granger, is set in which fictional country?","Freedonia","Narnia","Ruritania","Vulgaria",3
"Who plays Captain Ned Lynch in the 1976 film Swashbuckler?","Beau Bridges","Richard Harris","Roger Moore","Robert Shaw",4
"Who plays the Sheriff of Nottingham in the 1991 film Robin Hood: Prince of Thieves?","Jeremy Irons","Christopher Lloyd","Liam Neeson","Alan Rickman",4
"What is the name of Humphrey Bogart's character in the 1951 film The African Queen?","Charlie Allday","Charlie Allnight","Charlie Allnut","Charlie Allways",3
"The 1985 film King Solomon's Mines, starring Richard Chamberlain and Sharon Stone, is based on the novel of the same name by which author?","Wilkie Collins","Arthur Conan Doyle","H Rider Haggard","Robert Louis Stevenson",3
"The 1952 film Scaramouche includes a famous swordfight between Stewart Granger and who else?","Jose Ferrer","Mel Ferrer","George Sanders","Cornel Wilde",2
"Who plays Raquel Welch's husband in the 1973 film The Three Musketeers?","Kenneth Connor","Roy Kinnear","Spike Milligan","Kenneth Williams",3
"The 1948 film The Treasure of the Sierra Madre, starring Humphrey Bogart and Tim Holt, is set in which country?","Mexico","Peru","Spain","The USA",1
"Who plays opposite Cary Grant in the 1959 film North by Northwest?","Doris Day","Tippi Hedren","Kim Novak","Eva Marie Saint",4
"In the 1935 film Mutiny on the Bounty, Charles Laughton plays Captain Bligh. What is the captain's first name?","Charles","James","Robert","William",4
"In the 1990 film White Hunter, Black Heart, Clint Eastwood plays a film maker. The character is  based on which real-life director?","John Ford","John Huston","Howard Hawks","Howard Hughes",2
"What is the name of Burt Lancaster's character in the 1952 film The Crimson Pirate?","Captain Callo","Captain Dallo","Captain Mallo","Captain Vallo",4
"In the 1951 film The African Queen, Katherine Hepburn plays the missionary Rose Sayer. Who plays her brother Samuel?","Robert Beatty","Charles Laughton","Robert Morley","James Robertson Justice",3
"Who plays opposite Maureen O' Hara in the 1942 film The Black Swan?","Errol Flynn","Stewart Granger","Tyrone Power","John Wayne",3
"In the 1975 film Jaws, what is the name of the police chief, played by Roy Scheider?","Bodie","Brady","Bradley","Brodie",4
"Who directed the 1962 film Lawrence of Arabia?","John Frankenheimer","Stanley Kubrick","David Lean","James Whale",3
"Who provides the voice of Jane in the 1999 animated film Tarzan?","Minnie Driver","Andie MacDowell","Kylie Minogue","Emma Thompson",1
"Who plays the female lead in the 1986 film Crocodile Dundee?","Nastassja Kinski","Linda Kozlowski","Mary McDonnell","Greta Scacchi",2
"The 1965 film The Flight of the Phoenix is set in which desert?","The Atacama Desert","The Gobi Desert","The Kalahari Desert","The Sahara Desert",4
"Which rapper plays cameraman Danny Rich in the 1997 film Anaconda?","Ice Cube","Ice-T","LL Cool J","Snoop Dogg",1
"Who stars in the 1995 film Cutthroat Island?","Geena Davis","Whoopi Goldberg","Susan Sarandon","Kathleen Turner",1
"Who plays the lead in the 1960 film The Lost World?","Joseph Cotton","James Mason","Michael Rennie","John Wayne",3
"Who plays the title role in the 1951 film Captain Horatio Hornblower?","Cary Grant","Rock Hudson","Charles Laughton","Gregory Peck",4
"What is the title of the 1985 film directed by John Boorman and set in Brazil?","The Emerald Forest","The Enchanted Forest","The Petrified Forest","The Rain Forest",1
"Which character does Stanley Baker play in the 1953 film Knights of the Round Table?","Gawain","Merlin","Modred","Percival",3
"In the 2000 film The Perfect Storm, starring George Clooney, the storm of the title takes place in which ocean?","Arctic","Atlantic","Indian","Pacific",2
"Who plays the female lead in the 1994 film The River Wild?","Sandra Bullock","Geena Davis","Susan Sarandon","Meryl Streep",4
"The 1951 film The African Queen, starring Humphrey Bogart and Katherine Hepburn, is set during which war?","Zulu War","Boer War","World War One","World War Two",3
"What is the title of the 1995 film starring Richard Gere as Sir Lancelot?","First Knight","Last Knight","Late Knight","Stormy Knight",1
"The 1982 Arnold Schwarzenneger fantasy film is entitled  what?","The Riddle of the Sands","The Riddle of the Sorcerer","The Riddle of Steel","The Riddle of Stone",3
"Who stars in the 1927 silent film The General?","Charlie Chaplin","Buster Keaton","Harold Lloyd","Ben Turpin",2
"Which actress played the title role in the 2001 film &quot;Bridget Jones' Diary&quot;?","Julia Roberts","Meg Ryan","Meryl Streep","Renée Zellweger",4
"Who played the male lead in the 1999 film &quot;Notting Hill&quot;?","Brad Pitt","Hugh Grant","Leonardo DiCaprio","Tom Cruise",2
"What accompanies &quot;Four Weddings&quot; in the 1994 film?","A christening","A divorce","A funeral","An engagement",3
"In which year was the Richard Gere and Julia Roberts film &quot;Pretty Woman&quot; released?","1970","1980","1990","2000",3
"Which creator of &quot;Blackadder&quot; directed the 2003 film &quot;Love Actually&quot;?","Ben Elton","Richard Curtis","Rik Mayall","Rowan Atkinson",2
"Who played Johnny Castle in the 1987 film &quot;Dirty Dancing&quot;?","John Travolta","Lionel Blair","Patrick Swayze","Wayne Sleep",3
"Which part did Kate Winslet play in the 1997 film &quot;Titanic&quot;?","Rose DeActress Bukater","Rose DeHeroine Bukater","Rose DeOscar Bukater","Rose DeWitt Bukater",4
"Henry Roth was the part played by Adam Sandler in which 2004 film?","50 First Currants","50 First Dates","50 First Figs","50 First Raisins",2
"In which 1992 film did Kevin Costner's Frank protect Whitney Houston's Rachel?","The Bodyguard","The Minder","The Protector","The Shield",1
"Which 1988 film starred Bette Midler and Barbara Hershey as friends?","Beaches","Dunes","Sands","Seasides",1
"In which 1990 Patrick Swayze film did Demi Moore play the part of Molly Jensen?","Dirty Dancing","Father Hood","Ghost","Steel Dawn",3
"Who played Kimberly Wallace in the 1997 film &quot;My Best Friend's Wedding&quot;?","Cameron Diaz","Halle Berry","Julia Roberts","Meg Ryan",1
"In the 1998 film &quot;Stepmom&quot; what are Jackie and Luke Harrison's children called?","Alison and Bill","Anna and Ben","Anne and Brett","Annemarie and Brian",2
"Which 1989 Meg Ryan film also starred Billy Crystal?","Promised Land","The Doors","Top Gun","When Harry Met Sally",4
"In the 1991 film &quot;Thelma and Louise&quot; in what car do the title characters travel?","Chevrolet","Corvette","Mustang","Thunderbird",4
"Which role was played by Alison Steadman in the 1989 film &quot;Shirley Valentine&quot;?","Gillian","Jane","Marjorie","Shirley",2
"In which year was the Drew Barrymore film &quot;Never Been Kissed&quot; released?","1997","1998","1999","2000",3
"Who directed the 2001 film &quot;Legally Blonde&quot; starring Reese Witherspoon?","Lewis Gilbert","Raja Gosnell","Ridley Scott","Robert Luketic",4
"In the 1993 film &quot;Sleepless In Seattle&quot; what is the name of Sam Baldwin's son?","Jason","John","Jonah","Jonathan",3
"In the 1999 film &quot;Runaway Bride&quot;, what is the job of Ike Graham?","Baseball Coach","Divorce Lawyer","Private Investigator","Reporter",4
"How many children are there in the 1970 film The Railway Children?","3","4","5","7",1
"Who plays six distinct roles in the computer-animated 2004 film The Polar Express?","Johnny Depp","Morgan Freeman","Tom Hanks","Will Smith",3
"What is the name of Dorothy's dog in the 1939 film The Wizard of Oz?","Tintin","Tito","Tonto","Toto",4
"What is the title of the 1987 animated film featuring a household appliance in the title role?","The Brave Little Kettle","The Brave Little Radio","The Brave Little Teapot","The Brave Little Toaster",4
"Which cartoon character stars opposite basketball star Michael Jordan in the animated film Space Jam?","Bugs Bunny","Daffy Duck","Donald Duck","Elmer Fudd",1
"What breed of dog is the title character in the 1992 film Beethoven?","Afghan Hound","Chihuahua","Great Dane","St Bernard",4
"What is the name of  the Volkswagen Beetle with a mind of its own in the 1969 film The Love Bug?","Harry","Harvey","Herbie","Hymie",3
"What is Velvet's surname in the 1944 film National Velvet?","Black","Brown","Green","White",2
"Who or what is Old Yeller in the title of the 1957 film?","A cougar","A dog","A gold prospector","A mule",2
"Who plays Miss Eglantine Price, who is secretly a witch, in the 1971 film Bedknobs and Broomsticks?","Julie Andrews","Goldie Hawn","Angela Lansbury","Una Stubbs",3
"Who plays the title role in the 1971 version of Willy Wonka and the Chocolate Factory?","Dean Jones","Roddy McDowall","Gene Wilder","Robin Williams",3
"Who plays Swinburne in the 1971 film Bedknobs and Broomsticks?","Michael Crawford","Bruce Forsyth","David Tomlinson","Norman Wisdom",2
"Which preserved steam railway was used in the filming of the 1970 film The Railway Children?","Churnet Valley Railway","Keighley and Worth Valley Railway","Nene Valley Railway","Severn Valley Railway",2
"In the 1941 animated film Dumbo, what is the name of Dumbo's only friend, a mouse?","Timothy","Tiny","Toby","Tommy",1
"Who plays Hermione Granger in the first five Harry Potter films?","Emma Watson","Emma Williams","Emma Williamson","Emma Wilson",1
"Which city is the setting for the 1956 short film The Red Balloon?","London","New York","Paris","Rome",3
"The song Rumbly in my Tumbly comes from which 1960s film?","Emil and the Detectives","The Jungle Book","One Hundred and One Dalmatians","Winnie the Pooh and the Honey Tree",4
"In the 1980 film Popeye, the famous sailor meets his father. What is his dad's name?","Bilgerat Pappy","Longboat Pappy","Mainmast Pappy","Poopdeck Pappy",4
"What is the title of the 1980 film, the fourth in the Lovebug series?","Herbie Goes Bananas","Herbie Goes Crazy","Herbie Goes Loco","Herbie Goes Nuts",1
"What is the name of the character voiced by Mel Gibson in the 2000 animated film Chicken Run?","Rocky Rhodes","Rocky Rails","Rocky Robin","Rocky Rooster",1
"Who plays Kris Kringle in the 1994 version of Miracle on 34th Street?","Richard Attenborough","Anthony Hopkins","Jeremy Irons","Peter O'Toole",1
"In the 1955 animated film Lady and the Tramp, what breed of dog is Lady?","Beagle","Border Collie","Cocker Spaniel","Jack Russell Terrier",3
"In the 1960 film Pollyanna, who plays the title character's Aunt Polly?","Ava Gardner","Katherine Hepburn","Angela Lansbury","Jane Wyman",4
"In the 1969 animated film A Boy Named Charlie Brown, Charlie and his friends compete in what?","A cross-country race","A softball tournament","A spelling bee","A swimming gala",3
"In the Love Bug series of films, what number is carried by Herbie?","33","43","53","63",3
"In the 1979 film The Black Stallion, who plays the retired jockey who teaches the young boy to ride the stallion?","Danny DeVito","Bob Hoskins","Roddy McDowall","Mickey Rooney",4
"What do developers plan to build in the 1985 film The Goonies, only to be thwarted by a group of kids?","An apartment block","A casino","A golf course","A marina",3
"Which Disney cartoon character opens gifts from his Latin American friends in the 1945 film The Three Caballeros?","Donald Duck","Goofy","Mickey Mouse","Pluto",1
"What is the name of the dragon in the 1977 film Pete's Dragon?","Eddie","Egbert","Elliot","Ernie",3
"The song When You Wish Upon a Star comes from which Disney film?","Cinderella","Peter Pan","Pinocchio","Snow White and the Seven Dwarfs",3
"Who appeared as Mister Bean on television and on film?","Ben Elton","Griff Rhys Jones","Mel Smith","Rowan Atkinson",4
"How many weddings accompanied a funeral on film?","2","3","4","5",3
"Which inspector did Peter Sellers play in the &quot;Pink Panther&quot; films?","Clouseau","Cointreau","Cousteau","Couteau",1
"Which comedy team appeared in the film &quot;A Night At The Opera&quot;?","Chuckle Brothers","Laurel and Hardy","Marx Brothers","Morecambe and Wise",3
"Which Lancashire comedian appeared in the film Turned Out Nice Again?","Bernard Manning","George Formby","Jim Bowen","Stan Boardman",2
"Which series of comedy films followed the progress of trainee American cops?","LA Police","Miami Vice","New York Police","Police Academy",4
"Which Marx Brothers film was set in the fictitious state of &quot;Freedonia&quot;?","A Day At The Races","A Night In Casablanca","Duck Soup","Love Happy",3
"What type of dwelling gave Jack Lemmon a major film hit?","The Apartment","The Bungalow","The Caravan","The Townhouse",1
"Who played Ken in the film &quot;A Fish Called Wanda&quot;?","Michael Aspel","Michael Palin","Michael Parkinson","Michael Winner",2
"Burt Reynolds appeared in the film &quot;Smokey And The  -----&quot; what ?","Bandit","Crook","Robber","Thief",1
"&quot;Springtime For Hitler&quot; was sung in which Mel Brooks film?","Blazing Saddles","History Of The World : Part 1","The Producers","Young Frankenstein",3
"Who starred in the funny silent movie &quot;The Navigator&quot;?","Buster Keaton","Harpo Marx","Mary Pickford","The Keystone Kops",1
"Which Woody Allen film was a parody of 19th century Russian novels?","Annie Hall","Bananas","Love And Death","Sleeper",3
"Which actor delivered the famous film line &quot;Infamy, infamy, they've all got it in for me&quot;?","Bernard Bresslaw","Kenneth Connor","Kenneth Williams","Sid James",3
"Bud and Lou made comic films together as who?","Abbott and Costello","Flanagan and Allen","Laurel and Hardy","Morecambe and Wise",1
"Who shared the lead with Jeff Daniels in the 1994 film &quot;Dumb &amp; Dumber&quot;?","Eddie Murphy","Jim Carrey","Randy Quaid","Will Smith",2
"In which English city was the film &quot;The Full Monty&quot; set?","Bradford","Bristol","Oxford","Sheffield",4
"Which actor played Brian in the Monty Python film &quot;The Life Of Brian&quot;?","Eric Idle","Graham Chapman","John Cleese","Michael Palin",2
"&quot;My Little Chickadee&quot; was one of whose most famous films?","Bob Hope","Groucho Marx","Jack Benny","W C Fields",4
"Which American comic actor appeared in &quot;Carry On - Follow That Camel&quot;?","Eddie Murphy","George Seagal","Jack Lemmon","Phil Silvers",4
"Who starred alongside Steve Martin in the film &quot;Planes, Trains and Automobiles&quot;?","John Candy","Steve Guttenberg","Ted Danson","Tom Selleck",1
"In the film &quot;Ace Ventura - Pet Detective&quot; which US football team was featured?","Cincinnati Bengals","Miami Dolphins","Seattle Seahawks","St Louis Rams",2
"Arthur Lucan appeared as which comic character on film?","Ian Sludge Lees","Legs Larry Smith","Long John Silver","Old Mother Riley",4
"Which British comic legend appeared in the 1937 film &quot;Oh, Mr Porter&quot;?","Sandy Powell","Ted Ray","Tommy Trinder","Will Hay",4
"&quot;This Is Spinal Tap&quot; was a spoof movie based upon what?","Bar Staff","Medical Students","Mercenary Soldiers","Rock Group",4
"Which famous duo appeared in a number of &quot;Road&quot; films?","Bing Crosby and Bob Hope","Dean Martin and Jerry Lewis","George Burns and Gracie Allen","Jack Lemmon and Walter Matthau",1
"In which Peter Sellers film did he refer to &quot;Birdie Num Nums&quot;?","A Shot In The Dark","Dr Strangelove","I'm All Right Jack","The Party",4
"What was John Cleese's occupation in the film &quot;Clockwise&quot;?","Architect","Doctor","Headmaster","Lawyer",3
"Whose comic films often included himself playing the character Monsieur Hulot?","Jacques Cousteau","Jacques Tati","Jean Paul Belmondo","Maurice Chevalier",2
"Which British-made 1960s silent movie, featuring Eric Sykes, achieved cult status?","The Brick","The Building Site","The Plank","The Wall",3
"In the film &quot;National Lampoon's Christmas Vacation&quot; who played the male lead?","Chevy Chase","Leslie Neilsen","Peter Sellers","Steve Martin",1
"Who appeared as Dudley Moore's butler in &quot;Arthur&quot;?","Sir John Gielgud","Sir John Mills","Sir Laurence Olivier","Sir Ralph Richardson",1
"Who appeared in countless movies alongside Oliver Hardy?","Sam Laurel","Stan Laurel","Steve Laurel","Stig Laurel",2
"In which film did Charlie Chaplin play a pathetic character in 1915?","The Hobo","The Scruff","The Tramp","The Vagabond",3
"Which 1980 film was a spoof based upon disaster movies?","Airplane !","Helicopter !","Hot Air Balloon !","Jet !",1
"Which 1970s British sitcom starring Reg Varney transferred to the big screen?","Love Thy Neighbour","On The Buses","Rising Damp","The Cuckoo Waltz",2
"What set apart &quot;Trail Of The Pink Panther&quot; from other Peter Sellers &quot;Panther&quot; films?","It was a series of out-takes","It was filmed on the Isle of Skye","It was shot in black and white","It was written only by Sellers",1
"Jack Lemmon and Walter Matthau appeared on film as which two-man team?","The Deadly Duo","The Odd Couple","The Strange Pair","The Weird Twosome",2
"Which Scottish comic actor appeared alongside Eric Idle in &quot;Nuns On The Run&quot;?","Billy Connolly","John Laurie","Robbie Coltrane","Stanley Baxter",3
"In which film did Goldie Hawn and Susan Sarandon star in 2002?","The Banger Sisters","The Firework Sisters","The Flare Sisters","The Sparkler Sisters",1
"Who plays Bonnie in the 1967 film Bonnie and Clyde?","Angie Dickinson","Faye Dunaway","Jane Fonda","Raquel Welch",2
"What does a police officer have cut off in the 1992 Quentin Tarantino film Reservoir Dogs?","His ear","His finger","His nose","His toe",1
"The 1969 film The Italian Job is set in which city?","Milan","Naples","Rome","Turin",4
"Who stars in the 1949 film White Heat?","Humphrey Bogart","James Cagney","George Raft","Edward G Robinson",2
"What is the name of Robert Shaw's character in the 1973 film The Sting?","Lonnie Donegan","Doyle Lonnegan","Lou Hannigan","Danny Kerrigan",2
"Which real-life gangster does Ray Liotta play in the 1990 film Goodfellas?","Harry Hill","Henry Hill","Harry Houdini","Henry Hudson",2
"What is the title of the 1994 Woody Allen film starring John Cusack?","Bullets over Broadway","Bullets over the Bronx","Bullets over Manhattan","Bullets over New York",1
"What is the name of Richard Attenborough's character in the 1947 film Brighton Rock?","Brownie","Blackie","Pinkie","Whitey",3
"In the 2004 film Collateral, Jamie Foxx plays what role?","A bus driver","A taxi driver","A truck driver","A subway train driver",2
"What are the first names of the title characters in the 1990 film The Krays?","Raymond and Reginald","Raymond and Ronald","Robert and Reginald","Ronald and Reginald",4
"The 1947 film Brighton Rock, starring Richard Attenborough, was based on the novel by which author?","Kingsley Amis","Graham Greene","George Orwell","Evelyn Waugh",2
"Who stars opposite Martin Sheen in the 1973 film Badlands?","Mia Farrow","Marsha Mason","Michelle Pfeiffer","Sissy Spacek",4
"What event is central to the 1975 film Dog Day Afternoon?","A bank robbery","A gas station robbery","A jewellery store robbery","A liquor store robbery",1
"The 1967 film Point Blank, starring Lee Marvin, is set in which city?","Atlanta","Los Angeles","Miami","New Orleans",2
"What is the title of the 1999 film starring Mel Gibson as a small-town crook?","Payback","Paycheck","Payoff","Payroll",1
"What is the first name of the title character, played by Samuel L Jackson, in the 2000 film Shaft?","Jacob","James","John","Joseph",3
"Who plays the female lead in the 1944 film Double Indemnity, also starring Fred MacMurray and Edward G Robinson?","Rita Hayworth","Susan Hayward","Katherine Hepburn","Barbara Stanwyck",4
"In the 1951 film The Lavender Hill Mob, the crooks make models of what out of melted-down gold?","Big Ben","The Eiffel Tower","The Empire State Building","The Leaning Tower of Pisa",2
"The 1996 film Fargo takes its name from a city in which US state?","North Dakota","Maine","Minnesota","South Dakota",1
"Who plays the title role in the 1993 film Carlito's Way?","Al Pacino","Sean Penn","Joe Pesci","Robert De Nero",1
"In the 1991 film Billy Bathgate, which real-life gangster is played by Dustin Hoffman?","Legs Diamond","John Dillinger","Baby Face Nelson","Dutch Schultz",4
"Who plays the title role in the 1997 Quentin Tarantino film Jackie Brown?","Bridget Fonda","Pam Grier","Angelina Jolie","Uma Thurman",2
"The 1955 film Rififi features a daring jewel robbery in which city?","Istanbul","London","Paris","Rome",3
"Who plays the undercover cop Sonny Crocket in the 2006 film Miami Vice?","Robert Carlyle","Colin Farrell","Colin Firth","Ewan McGregor",2
"What is the surname of the family that's murdered in the 1967 film In Cold Blood?","Clatter","Cletter","Clotter","Clutter",4
"What is the title of the 1938 James Cagney film?","Angels on Horseback","Angels with Dirty Faces","Fallen Angels","We're No Angels",2
"Who plays Robert De Nero's psychiatrist in the 1999 film Analyze This?","Gary Busey","Billy Crystal","Michael Moriarty","Michael Sheen",2
"What is the title of the 2002 film about two New York brothers who fall foul of the Irish mob?","Ash Wednesday","Black Monday","Easter Sunday","Good Friday",1
"In the 1967 film Bonnie and Clyde, Warren Beatty plays Clyde Barrow. Who plays his older brother, Buck?","Ernest Borgnine","Gene Hackman","Karl Malden","Rod Steiger",2
"What is the name of Nicolas Cage's character in the 2000 film Gone in Sixty Seconds?","Dakota","Dallas","Memphis","Tennessee",3
"The title role in the 1971 film Get Carter is played by Michael Caine. What is the character's first name?","Jack","Jerry","Jim","Joe",1
"In the 1971 film The French Connection, Gene Hackman's character, Popeye Doyle, wears a distinctive what?","Baseball cap","Fedora","Pork-pie hat","Stetson",3
"Who plays the compulsive gambler Chris Shiherlis in the 1995 film Heat?","Robert De Nero","Val Kilmer","Al Pacino","Jon Voight",2
"Who plays opposite James Cagney in the 1931 film The Public Enemy?","Marlene Dietrich","Zsa Zsa Gabor","Jean Harlow","Mae West",3
"The 1964 film Topkapi, about a jewel robbery in Istanbul, was based on a novel by which crime writer?","Eric Ambler","Raymond Chandler","Mickey Spillane","Edgar Wallace",1
"Who plays Steve McQueen's wife in the 1972 film The Getaway?","Faye Dunaway","Mia Farrow","Ali MaGraw","Stella Stevens",3
"In the 1980 film Scarface, Al Pacino plays a hitman seeking political asylum in Florida. What nationality is his character?","Colombian","Cuban","Peruvian","Venezualan",2
"Who plays John Cusack's mother in the 1990 film The Grifters?","Roseann Barr","Anjelica Huston","Madonna","Sissy Spacek",2
"What is the title of the 1948 film starring Humphrey Bogart, Edward G Robinson and Lauren Bacall?","Key Largo","Key West","Sugarloaf Key","Sunset Key",1
"Who plays the mobster Slim Dundee in the 1949 film Criss Cross, also starring Burt Lancaster and Yvonne De Carlo?","Dan Duryea","Robert Ryan","Orson Wells","Richard Widmark",1
"Who plays the title role in the 1980 film The Elephant Man?","Michael Elphick","John Hurt","William Hurt","Jeremy Irons",2
"The 1992 film Howard's End is based on the novel of the same name by which author?","R F Delderfield","E M Forster","D H Lawrence","H G Wells",2
"What is the title of the 1991 film starring River Phoenix and Keanu Reeves?","My Own Private Idaho","My Own Private Illinois","My Own Private Indiana","My Own Private Iowa",1
"The 1976 film All the President's Men centres around which incident?","The Boston Tea Party","The attack on Pearl Harbor","The Cuban missile crisis","Watergate",4
"Much of the action of the 1945 film Brief Encounter takes place where?","An airport departure lounge","A hotel bar","A restaurant","A station refreshment room",4
"Who plays the lone dissenting jury member in the 1957 courtroom drama Twelve Angry Men?","Henry Fonda","Cary Grant","James Stewart","Jack Warden",1
"What is the title of the 1944 film set on Martinique and starring Humphrey Bogart and Lauren Bacall?","To Have and Have Not","To Have and To Hold","To Have It Coming","To Have What It Takes",1
"What is Seabiscuit in the title of the 2003 film starring Tobey Maguire and Jeff Bridges?","A dog","A racehorse","A sailing boat","A whale",2
"Who plays the title role in the 2002 film The Quiet American?","Beau Bridges","Michael Caine","Liam Neeson","Christopher Walken",2
"The 1975 film Picnic at Hanging Rock is set in which country?","Australia","Canada","New Zealand","Wales",1
"Which 1987 film stars Anthony Hopkins and Anne Bancroft?","84 Charing Cross Road","84 Cromwell Road","84 Gloucester Road","84 Tottenham Court Road",1
"Which boxer is played by Paul Newman in the 1956 film Somebody Up There Likes Me?","Jack Dempsey","Rocky Graziano","Rocky Marciano","Gene Tunney",2
"Who plays the title character, a morphine addict, in the 1955 film The Man with the Golden Arm?","Jack Lemmon","Dean Martin","William Powell","Frank Sinatra",4
"Which country singer does Sissy Spacek play in the 1980 film Coal Miner's Daughter?","Patsy Cline","Loretta Lynn","Dolly Parton","Tammy Wynette",2
"What is the name of the sadistic nurse in the 1975 film One Flew Over the Cuckoo's Nest?","Nurse Ratched","Nurse Retched","Nurse Ritched","Nurse Rutched",1
"In the 1990 film Misery, James Caan's character, Paul Sheldon is a writer of what type of novels?","Mystery","Romantic","Thriller","Science Fiction",2
"For which 1955 film did Ernest Borgnine win the Best Actor Oscar?","Manny","Marnie","Marty","Matty",3
"Who plays Kevin Spacey's wife in the 1999 film American Beauty?","Annette Bening","Melanie Griffith","Meg Ryan","Sigourney Weaver",1
"Who does the driving in the 1989 film Driving Miss Daisy?","Morgan Freeman","Danny Glover","Samuel L Jackson","Will Smith",1
"Which sport features in the 1963 film This Sporting Life?","Cricket","Golf","Horse Racing","Rugby League",4
